Year,C1,C2,C3,C4,C5,C6,C7
1967,76,13,31,7,7,6,15
1968,88,14,34,10,8,7,19
1969,89,16,38,12,8,6,17
1970,89,18,44,13,9,7,19
1971,88,20,56,14,11,9,18
1972,89,21,65,17,11,10,23
1973,88,23,73,18,13,10,20
1974,92,28,84,22,13,12,24
1975,104,31,109,28,16,15,26
1976,108,35,127,33,17,18,28
1977,116,38,138,39,19,21,34
1978,124,44,146,44,24,26,43
1979,138,53,160,50,28,30,41
1980,155,52,205,55,40,32,46
1981,181,69,240,66,46,34,51
1982,209,85,263,74,41,27,53
1983,235,90,293,82,37,27,61
1984,253,111,291,88,38,28,53
1985,279,129,316,100,36,29,67
1986,299,136,319,106,37,30,73
